student_id,full_name,email
23000001,Võ Hương Sơn,23000001@student.unihub.vn
23000002,Võ Hoàng Quân,23000002@student.unihub.vn
23000003,Trần Hoàng Em,23000003@student.unihub.vn
23000004,Huỳnh Thùy Hạnh,23000004@student.unihub.vn
23000005,Phan Quang Bình,23000005@student.unihub.vn
23000006,Vũ Hoàng Minh,23000006@student.unihub.vn
23000007,Lê Thanh Tài,23000007@student.unihub.vn
23000008,Võ Hương Minh,23000008@student.unihub.vn
23000009,Võ Mỹ Minh,23000009@student.unihub.vn
23000010,Phạm Thị Phát,23000010@student.unihub.vn
23000011,Phan Nhật Tài,23000011@student.unihub.vn
23000012,Đặng Thanh Minh,23000012@student.unihub.vn
23000013,Vũ Mỹ Uyên,23000013@student.unihub.vn
23000014,Huỳnh Văn Dũng,23000014@student.unihub.vn
23000015,Võ Quang Tâm,23000015@student.unihub.vn
23000016,Nguyễn Hương Em,23000016@student.unihub.vn
23000017,Nguyễn Anh Đạt,23000017@student.unihub.vn
23000018,Võ Đức Em,23000018@student.unihub.vn
23000019,Đặng Hữu Khai,23000019@student.unihub.vn
23000020,Vũ Anh Uyên,23000020@student.unihub.vn
23000021,Võ Thị Việt,23000021@student.unihub.vn
23000022,Hoàng Ngọc Cường,23000022@student.unihub.vn
23000023,Phan Hương Hạnh,23000023@student.unihub.vn
23000024,Đặng Hương Uyên,23000024@student.unihub.vn
23000025,Võ Hoàng Đạt,23000025@student.unihub.vn
23000026,Trần Minh Tài,23000026@student.unihub.vn
23000027,Trần Ngọc Phúc,23000027@student.unihub.vn
23000028,Hoàng Hoàng Minh,23000028@student.unihub.vn
23000029,Đặng Hương Khai,23000029@student.unihub.vn
23000030,Phạm Thanh Minh,23000030@student.unihub.vn
23000031,Phạm Hương Quân,23000031@student.unihub.vn
23000032,Võ Hoàng Bình,23000032@student.unihub.vn
23000033,Hoàng Thùy Cường,23000033@student.unihub.vn
23000034,Lê Thùy Uyên,23000034@student.unihub.vn
23000035,Lê Hoàng Đạt,23000035@student.unihub.vn
23000036,Huỳnh Thị Linh,23000036@student.unihub.vn
23000037,Phan Văn Uyên,23000037@student.unihub.vn
23000038,Nguyễn Hữu Em,23000038@student.unihub.vn
23000039,Lê Đức Nam,23000039@student.unihub.vn
23000040,Nguyễn Hương Hạnh,23000040@student.unihub.vn
23000041,Võ Hải Linh,23000041@student.unihub.vn
23000042,Hoàng Văn Em,23000042@student.unihub.vn
23000043,Võ Hương Việt,23000043@student.unihub.vn
23000044,Lê Nhật Cường,23000044@student.unihub.vn
23000045,Vũ Minh Phát,23000045@student.unihub.vn
23000046,Võ Anh Đạt,23000046@student.unihub.vn
23000047,Phan Thùy Uyên,23000047@student.unihub.vn
23000048,Nguyễn Minh Hạnh,23000048@student.unihub.vn
23000049,Vũ Đức Phát,23000049@student.unihub.vn
23000050,Lê Anh Cường,23000050@student.unihub.vn
23000051,Phan Quang Hạnh,23000051@student.unihub.vn
23000052,Phạm Hải Cường,23000052@student.unihub.vn
23000053,Vũ Thanh Cường,23000053@student.unihub.vn
23000054,Phan Hải Phát,23000054@student.unihub.vn
23000055,Vũ Minh An,23000055@student.unihub.vn
23000056,Hoàng Thanh Dũng,23000056@student.unihub.vn
23000057,Trần Thùy Uyên,23000057@student.unihub.vn
23000058,Hoàng Đức Việt,23000058@student.unihub.vn
23000059,Lê Thùy An,23000059@student.unihub.vn
23000060,Trần Đức Phúc,23000060@student.unihub.vn
23000061,Vũ Ngọc Việt,23000061@student.unihub.vn
23000062,Phạm Minh Dũng,23000062@student.unihub.vn
23000063,Đặng Minh Dũng,23000063@student.unihub.vn
23000064,Trần Hải Tâm,23000064@student.unihub.vn
23000065,Nguyễn Hữu Dũng,23000065@student.unihub.vn
23000066,Phan Hải Tài,23000066@student.unihub.vn
23000067,Huỳnh Thanh Việt,23000067@student.unihub.vn
23000068,Võ Anh Tâm,23000068@student.unihub.vn
23000069,Võ Hữu Bình,23000069@student.unihub.vn
23000070,Huỳnh Thị Đạt,23000070@student.unihub.vn
23000071,Phạm Minh Dũng,23000071@student.unihub.vn
23000072,Phan Nhật Khai,23000072@student.unihub.vn
23000073,Võ Minh Em,23000073@student.unihub.vn
23000074,Vũ Quang Tài,23000074@student.unihub.vn
23000075,Vũ Hải Nam,23000075@student.unihub.vn
23000076,Huỳnh Thị Hạnh,23000076@student.unihub.vn
23000077,Vũ Quang Nam,23000077@student.unihub.vn
23000078,Vũ Đức Linh,23000078@student.unihub.vn
23000079,Hoàng Thanh Cường,23000079@student.unihub.vn
23000080,Vũ Anh Quân,23000080@student.unihub.vn
23000081,Đặng Mỹ Minh,23000081@student.unihub.vn
23000082,Nguyễn Anh Uyên,23000082@student.unihub.vn
23000083,Nguyễn Thanh Bình,23000083@student.unihub.vn
23000084,Lê Nhật Minh,23000084@student.unihub.vn
23000085,Võ Thị An,23000085@student.unihub.vn
23000086,Nguyễn Nhật Quân,23000086@student.unihub.vn
23000087,Lê Quang Khai,23000087@student.unihub.vn
23000088,Phan Quang Nam,23000088@student.unihub.vn
